"","season_episode","drink_words_per_episode"
"1",1.1,17
"2",1.2,7
"3",1.3,9
"4",1.4,5
"5",1.5,11
"6",1.6,8
"7",1.7,1
"8",1.8,1
"9",1.9,5
"10",2,77
"11",2.1,7
"12",2.2,16
"13",2.3,8
"14",2.4,8
"15",2.5,7
"16",2.6,5
"17",2.7,11
"18",2.8,5
"19",2.9,7
"20",3,13
"21",3.1,7
"22",3.2,7
"23",3.3,12
"24",3.4,15
"25",3.5,8
"26",3.6,5
"27",3.7,10
"28",3.9,2
"29",4,4
"30",4.1,25
"31",4.2,9
"32",4.3,4
"33",4.4,13
"34",4.5,7
"35",4.6,6
"36",4.7,17
"37",4.8,10
"38",4.9,3
"39",5,3
"40",5.1,8
"41",5.2,3
"42",5.3,29
"43",5.4,6
"44",5.5,14
"45",5.6,2
"46",5.7,5
"47",5.8,7
"48",5.9,10
"49",6,6
"50",6.1,14
"51",6.2,10
"52",6.3,15
"53",6.4,8
"54",6.5,9
"55",6.6,2
"56",6.7,5
"57",6.8,2
"58",6.9,4
"59",7,8
"60",7.1,5
"61",7.2,7
"62",7.3,3
"63",7.4,2
"64",7.5,2
"65",7.6,0
"66",7.7,5
"67",7.8,2
"68",7.9,4
"69",8,2
"70",8.1,6
"71",8.2,26
"72",8.3,7
"73",8.4,1
